ID,MJD,Reference
18,57473.8466898148,Lovell
19,57611.4529513889,Lovell
25,57625.246712962995,Lovell
26,57625.247662037,Lovell
31,57636.489606481504,Lovell
123,57758.1626157407,Lovell
124,57762.1553472222,Lovell
125,57763.9756597222,Lovell
136,57768.1594791667,Lovell
137,57769.143333333304,Lovell
141,57771.954803240704,Lovell
142,57771.958773148086,Lovell
152,57779.9575347222,Lovell
153,57779.9783912037,Lovell
154,57781.7707175926,Lovell
155,57781.771319444415,Lovell
156,57785.9733796296,Lovell
157,57787.8220486111,Lovell
158,57787.8449537037,Lovell
159,57791.9422106482,Lovell
160,57791.9468402778,Lovell
161,57797.926712962995,Lovell
162,57797.9300462963,Lovell
163,57798.8721296296,Lovell
165,57805.9594907407,Lovell
166,57821.7853240741,Lovell
167,57821.7894907407,Lovell
168,57826.8415972222,Lovell
169,57826.845833333304,Lovell
170,57826.85190972219,Lovell
171,57826.862280092595,Lovell
172,57826.865949074105,Lovell
