ID,MJD Start,MJD End,No. of detections
0,57363.9001968,57363.9842014,0
1,57365.0012963,57365.0853009,0
2,57371.1676968,57371.2515278,0
3,57379.2055208,57379.289537,0
4,57389.0533796,57389.1374074,0
5,57402.0379051,57402.1219213,0
6,57407.1136111,57407.1976273,0
7,57428.8283333,57428.9998611,0
8,57429.0005556,57429.9993519,0
9,57430.0000463,57430.079213,0
10,57463.5381713,57463.6265741,0
11,57464.5426389,57464.6266319,0
12,57473.8181134,57473.9021181,1
13,57503.5778819,57503.6618171,0
14,57522.5927199,57522.6767245,0
15,57542.5871991,57542.6712037,0
16,57600.6521759,57600.7271644,0
17,57601.464838,57601.5488426,0
18,57607.2050463,57607.2890625,0
19,57611.3930208,57611.5192708,1
20,57625.2286111,57625.3121875,2
21,57636.4117593,57636.4957986,1
22,57660.1332523,57660.216794,0
23,57731.9311806,57731.9730787,0
24,57732.9692361,57732.9993287,0
25,57733.0000231,57733.0111343,0
26,57734.0149074,57734.0568056,0
27,57735.0182755,57735.060162,0
28,57736.0044213,57736.999919,0
29,57737.0006134,57737.0411227,0
30,57738.0987269,57738.1406134,0
31,57740.0132523,57740.0551505,0
32,57741.156713,57741.1986111,0
33,57742.1322222,57742.1741204,0
34,57743.1898958,57743.231794,0
35,57749.1250694,57749.166956,0
36,57750.1050347,57750.1469329,0
37,57754.0425694,57754.0916782,0
38,57756.1038773,57756.1457639,0
39,57757.0570255,57757.0989236,0
40,57758.1246296,57758.1665162,1
41,57759.1666551,57759.2085417,0
42,57760.991794,57760.9945718,0
43,57761.0111574,57761.053044,0
44,57762.1394676,57762.1813657,1
45,57763.9360417,57763.9776505,1
46,57764.9411111,57764.9829977,0
47,57765.9590856,57765.9993287,0
48,57766.0000231,57766.0007176,0
49,57767.1370139,57767.1789236,0
50,57768.1482755,57768.1901736,1
51,57769.1381134,57769.1800116,1
52,57770.1217361,57770.1636343,0
53,57771.0228472,57771.9622106,2
54,57777.1605093,57777.2024306,0
55,57779.940706,57779.9826042,2
56,57781.7416204,57781.7831944,2
57,57785.0630556,57785.9868287,1
58,57787.7983565,57787.8600579,1
59,57789.0112037,57789.0531019,0
60,57790.8103472,57790.8522569,0
61,57791.9167593,57791.958669,2
62,57793.023287,57793.0651852,0
63,57797.8964236,57797.9383218,2
64,57798.8532176,57798.8951157,1
65,57800.1026968,57800.1446065,0
66,57801.1211227,57801.1632176,0
67,57805.9416667,57805.9835648,1
68,57806.9484375,57806.9903356,0
69,57818.9738426,57818.9997685,0
70,57819.000463,57819.0157407,0
71,57820.7640394,57820.8059375,0
72,57821.7734144,57821.8153125,2
73,57822.8202546,57822.8621528,0
74,57823.902037 ,57823.9439352,0
75,57824.8967361,57824.9064583,0
76,57825.8474653,57825.8893634,0
77,57826.829537,57826.8714352,4
78,57827.804537,57827.8464352,0
79,57828.8424306,57828.8843287,0
80,57832.6784954,57832.7203819,0
81,57843.8655671,57843.9074653,0
82,57958.5467477,57958.639213,0
83,57960.4955093,57960.5097685,0
84,57966.5314583,57966.5733565,0
85,58227.7138079,58227.755706,0
